supplier_id,supplier_name,country,component_categories_served,avg_unit_price,avg_lead_time_days,avg_on_time_delivery_rate,avg_defect_rate,avg_warranty_claim_rate,avg_risk_score_external,avg_sustainability_score,final_supplier_score,supplier_category,recommended_action,cost_competitiveness_score,delivery_reliability_score,quality_performance_score,risk_exposure_score,sustainability_score_norm,avg_price_ratio,n_quotes,awarded_rate,total_spend
SUP-029,Meridian Components s.r.o.,Czech Republic,Chassis,577.0,7.6,0.9518,0.0121,0.007,8.7,83.3,85.9,Strategic Partner,Prioritize for long-term contract,78.9,87.0,88.1,93.1,88.8,0.8965,32,0.4062,20399923.0
SUP-050,Drava Electronics S.A.,Spain,EV Components; Electronics; Powertrain,3374.0,10.4,0.9421,0.0126,0.0071,18.2,82.1,85.3,Strategic Partner,Prioritize for long-term contract,86.9,83.1,87.4,82.1,86.6,0.8566,95,0.5368,145501455.0
SUP-022,Larix Castings s.r.o.,Czech Republic,Electronics; Powertrain,1713.0,6.7,0.948,0.0122,0.0068,10.0,83.0,83.2,Strategic Partner,Prioritize for long-term contract,72.0,85.5,88.2,91.6,88.3,0.9307,94,0.5745,114517967.0
SUP-028,Westmark Industries GmbH,Germany,Powertrain; Thermal Management,1623.0,7.6,0.957,0.0115,0.0065,3.4,85.4,82.2,Strategic Partner,Prioritize for long-term contract,59.6,89.1,89.3,99.2,92.8,0.9923,92,0.5326,101563212.0
SUP-036,Pallas Mobility s.r.o.,Czech Republic,Chassis; Powertrain,553.0,5.7,0.983,0.0055,0.003,8.3,89.3,81.9,Reliable but Expensive,Renegotiate price,43.4,99.6,99.6,93.5,100.0,1.0728,92,0.5109,75885235.0
SUP-039,Orion Mobility S.A.,Spain,Chassis; EV Components,3452.0,11.6,0.9689,0.0108,0.0062,18.6,88.8,81.6,Strategic Partner,Prioritize for long-term contract,59.8,93.9,90.4,81.7,99.0,0.9914,96,0.4792,156785226.0
SUP-013,Ibex Mobility GmbH,Germany,Interior; Powertrain,1575.0,7.3,0.9437,0.0122,0.0067,2.7,83.3,81.2,Strategic Partner,Prioritize for long-term contract,62.4,83.8,88.3,100.0,88.7,0.9787,89,0.4157,90966721.0
SUP-008,Magna Castings S.p.A.,Italy,Electronics; Powertrain,2036.0,7.7,0.9463,0.012,0.0063,19.1,82.3,80.8,Strategic Partner,Prioritize for long-term contract,70.1,84.8,88.7,81.2,87.0,0.9402,59,0.4915,73813134.0
SUP-042,Quanta Mobility GmbH,Germany,Chassis; Electronics; Interior; Thermal Management,596.0,8.3,0.952,0.0115,0.0066,4.2,85.8,78.8,Strategic Partner,Prioritize for long-term contract,50.2,87.1,89.2,98.3,93.4,1.039,128,0.375,91891678.0
SUP-017,Caldera Drivetrain s.r.o.,Czech Republic,Chassis; Thermal Management,471.0,7.4,0.9578,0.0118,0.0065,10.2,85.4,78.1,Reliable but Expensive,Renegotiate price,49.8,89.4,88.9,91.4,92.8,1.0413,95,0.6,70616303.0
SUP-060,Stellar Drivetrain GmbH,Germany,Interior; Powertrain,2723.0,6.8,0.9648,0.0066,0.0032,3.8,82.8,75.9,Reliable but Expensive,Renegotiate price,32.1,92.3,97.9,98.8,87.8,1.1294,56,0.3929,91699344.0
SUP-057,Verde Systems S.A. de C.V.,Mexico,Chassis,574.0,33.7,0.9416,0.0122,0.0067,40.0,77.9,74.1,Strategic Partner,Prioritize for long-term contract,64.3,82.9,88.2,57.0,78.8,0.9688,60,0.5,48198381.0
SUP-016,Lumina Electronics S.p.A.,Italy,EV Components; Powertrain; Thermal Management,3576.0,8.9,0.9422,0.0123,0.0067,19.7,82.4,73.9,Reliable but Expensive,Renegotiate price,49.2,83.2,88.1,80.4,87.2,1.0441,89,0.4944,157823013.0
SUP-027,Tramont Automotive Sp. z o.o.,Poland,Electronics; Powertrain,416.0,11.8,0.876,0.0291,0.0166,28.0,69.6,72.9,Strategic Partner,Prioritize for long-term contract,100.0,56.5,59.1,70.8,63.3,0.7913,95,0.4211,46798179.0
SUP-031,NordTec Tech GmbH,Germany,Chassis; Thermal Management,471.0,11.1,0.8723,0.0308,0.0175,16.0,67.8,71.6,Cost Efficient,Develop as strategic partner,92.9,55.1,56.3,84.7,60.0,0.8268,59,0.339,23103853.0
SUP-004,Drava Systems S.p.A.,Italy,Powertrain,418.0,6.3,0.9548,0.0069,0.0037,19.3,80.4,70.3,Reliable but Expensive,Renegotiate price,27.8,88.2,97.2,80.9,83.4,1.1504,30,0.4333,30926841.0
SUP-021,Halden Precision S.A. de C.V.,Mexico,Electronics,624.0,34.1,0.9515,0.0115,0.0066,39.9,79.9,70.0,Reliable but Expensive,Renegotiate price,45.5,86.9,89.2,57.0,82.5,1.0627,58,0.3966,44488149.0
SUP-019,Falcon Castings S.A. de C.V.,Mexico,EV Components; Electronics,6643.0,32.3,0.9841,0.0053,0.0028,38.4,87.2,69.7,Reliable but Expensive,Renegotiate price,20.8,100.0,100.0,58.8,96.1,1.1852,63,0.4762,131115889.0
SUP-049,Zelos Systems S.A.,Spain,Electronics; Thermal Management,750.0,12.0,0.9195,0.0175,0.0102,26.2,77.0,68.6,Reliable but Expensive,Renegotiate price,52.4,74.0,78.9,73.0,77.1,1.0284,65,0.4,38455276.0
SUP-048,Onyx Castings S.A. de C.V.,Mexico,Electronics; Powertrain,2016.0,35.0,0.9591,0.0108,0.0063,40.4,83.2,65.6,Reliable but Expensive,Renegotiate price,25.8,89.9,90.4,56.5,88.6,1.1604,90,0.4667,115072961.0
SUP-051,Granta Systems Inc.,USA,Chassis; Electronics; Powertrain,472.0,27.0,0.9542,0.0071,0.0038,21.0,77.4,65.0,Reliable but Expensive,Renegotiate price,13.3,88.0,96.9,78.9,77.8,1.2228,99,0.404,101923763.0
SUP-053,Xenon Tech s.r.o.,Czech Republic,Chassis; Thermal Management,460.0,10.9,0.8493,0.0372,0.0206,23.7,60.8,64.3,Cost Efficient,Monitor quality risk,92.2,45.8,45.7,75.8,47.0,0.8304,92,0.337,40923014.0
SUP-014,Stellar Tech Inc.,USA,EV Components; Electronics; Powertrain,3871.0,26.9,0.951,0.0071,0.0036,21.0,76.3,64.3,Reliable but Expensive,Renegotiate price,12.7,86.7,97.0,79.0,75.7,1.2258,93,0.3548,161109587.0
SUP-038,Castor Precision Inc.,USA,Chassis; Electronics; Thermal Management,657.0,28.8,0.8911,0.021,0.0118,29.3,66.3,64.3,Cost Efficient,Develop as strategic partner,59.8,62.6,73.1,69.3,57.2,0.9912,95,0.3684,65252229.0
SUP-055,Bavaria Castings S.A.,Spain,Chassis; Powertrain,1418.0,14.3,0.8745,0.0297,0.0162,32.0,68.4,63.6,Cost Efficient,Develop as strategic partner,72.9,55.9,58.7,66.2,61.2,0.9261,93,0.3978,70484916.0
